Vermont:,25
Alaska:,60
Virginia:,"1,249"
Oregon:,80
New Mexico:,44
Nevada:,69
Connecticut:,43
Delaware:,29
Tennessee:,79
West Virginia:,42
New Jersey:,139
Alabama:,132
Pennsylvania:,186
Hawaii:,105
Louisiana:,87
South Dakota:,11
Montana:,17
Michigan:,123
Wisconsin:,88
New Hampshire:,22
Iowa:,60
Rhode Island:,20
Ohio:,218
Illinois:,298
Mississippi:,43
Texas:,559
North Carolina:,224
Georgia:,259
Maryland:,833
Missouri:,100
Kansas:,57
Massachusetts:,175
South Carolina:,183
Florida:,385
Indiana:,84
Arizona:,175
Oklahoma:,59
Washington:,143
Kentucky:,78
Nebraska:,45
Arkansas:,45
North Dakota:,10
Utah:,97
Maine:,7
Idaho:,16
Guam:,2
Wyoming:,7
Minnesota:,79
Colorado:,331
New York:,232
California:,821
